version,threads,size,cycles,cache_misses,l1_misses,context_switches
A1,1,512,6462424730,102300,69739991,16
A1,1,1024,8742523999,121210,140090975,18
A1,1,4096,8255645913,95929,308339431,47
A1,1,16384,8355440398,113927,504089156,20
A1,1,65536,8775516860,119744,470084990,9
A1,2,512,15609950335,811262,157291933,46
A1,2,1024,15586940078,3068488,239819062,98
A1,2,4096,15669829637,4744707,569796975,215
A1,2,16384,15971048914,319055,935264307,18
A1,2,65536,15687451639,167150,799136705,38
A1,4,512,28451304866,843910,218415136,371
A1,4,1024,23500260534,5352616,325866658,315
A1,4,4096,15983442659,8536504,553191253,488
A1,4,16384,15941449271,2590067,885388647,601
A1,4,65536,16793394416,1973028,802164377,442
A1,8,512,16337243776,18502646,130879106,25561
A1,8,1024,17037276911,26719459,243034720,30218
A1,8,4096,17297164990,76501179,633325570,91394
A1,8,16384,16818732946,108143226,941988700,120286
A1,8,65536,16680368497,91897043,797629521,227011
A2,1,512,6787695440,8884909,46565327,16
A2,1,1024,7463204969,22381574,87899873,31
A2,1,4096,6932441538,65316636,203906158,142
A2,1,16384,5074610529,70837,322127514,94532
A2,1,65536,4349669676,75953,541839555,139916
A2,2,512,12032653927,17976118,79394733,32
A2,2,1024,11273844030,39791042,132390838,58
A2,2,4096,10166265105,106032888,298135302,7783
A2,2,16384,7768745498,476860,498276562,130857
A2,2,65536,6392182942,150960,789020315,211794
A2,4,512,18003112816,32533347,112478931,84
A2,4,1024,17834066329,69043750,195390161,4403
A2,4,4096,17569062444,193077730,422637137,96
A2,4,16384,12474942775,13872318,836141942,160050
A2,4,65536,10419806834,5637604,846764210,225405
A2,8,512,26828972385,45937025,121115020,3916
A2,8,1024,25619523919,104103551,213897327,6444
A2,8,4096,22458758511,234255718,466231806,11049
A2,8,16384,16939414098,238351920,814516549,53721
A2,8,65536,11391828624,190165951,797111468,127877
A3,1,512,6653838679,20838543,73670814,19
A3,1,1024,7228434497,41616818,125513798,23
A3,1,4096,5868195320,61473,179033844,70760
A3,1,16384,5087648153,1358860,292874930,91432
A3,1,65536,4479877401,95837,430526340,128440
A3,2,512,11296789791,34228146,121076201,9313
A3,2,1024,10447474501,58864445,180459927,9698
A3,2,4096,8570979322,128407,248865985,110828
A3,2,16384,7775751021,3098740,440434295,128068
A3,2,65536,6894431426,157955,639963393,184071
A3,4,512,17973822850,36466890,152491852,16742
A3,4,1024,16996167182,58270709,229585688,21017
A3,4,4096,14588576219,13744696,399237480,111880
A3,4,16384,12127001320,13640159,759352146,146463
A3,4,65536,10273567972,7864784,793911557,217622
A3,8,512,24761125831,9814749,213990285,18807
A3,8,1024,24976072692,71167463,385181956,21729
A3,8,4096,26774155445,115387898,1151900340,32284
A3,8,16384,27921963425,217712534,1827144417,36940
A3,8,65536,31861042783,368803338,1468667610,30905
